"AD_TOTAL"	"AD_UP"	"AD_DOWN"	"earlyPD_TOTAL"	"earlyPD_UP"	"earlyPD_DOWN"	"MCI_TOTAL"	"MCI_UP"	"MCI_DOWN"	"MS_TOTAL"	"MS_UP"	"MS_DOWN"	"PD_TOTAL"	"PD_UP"	"PD_DOWN"	"rrMS_TOTAL"	"rrMS_UP"	"rrMS_DOWN"	"spMS_TOTAL"	"spMS_UP"	"spMS_DOWN"	"Sexmale_TOTAL"	"Sexmale_UP"	"Sexmale_DOWN"	"Age_TOTAL"	"Age_UP"	"Age_DOWN"
"PGM2L1"			"VSIR"																							
"ENOX2"			"BCCIP"																							
"CASP7"			"CCDC6"																							
"IL25"			"UBE2S"																							
"RPUSD2"			"RUNDC3A"																							
"C16orf78"			"PNPO"																							
"COPS2"			"RPS6KB1"																							
"COX11"			"CBX1"																							
"TRIM44"			"PFN1"																							
"BMERB1"			"LGALS3BP"																							
"PLK1"			"ASIC2"																							
"NAB2"			"DUSP3"																							
"TTC16"			"DHRS7B"																							
"TUBA1C"			"ZNF330"																							
"GPD1"			"KLHL2"																							
"LY6D"			"AADAT"																							
"DDB1"			"GALNT7"																							
"HOOK3"			"DCPS"																							
"KCTD6"			"CHORDC1"																							
"DEGS2"			"HIPK3"																							
"TAP1"			"ACCS"																							
"RHOH"			"CARS1"																							
"TNIP2"			"PSMD9"																							
"PXDC1"			"ASIC1"																							
"ASMTL"			"KCTD10"																							
"GSG1L"			"RSRC2"																							
"APEX2"			"LIN7A"																							
"CA5B"			"METAP2"																							
"ZRSR2"			"PRMT8"																							
"KCNAB1"			"RAD51AP1"																							
"CLIC3"			"ACAD10"																							
"NFU1"			"CDKN1B"																							
"GPS1"			"RFC5"																							
"TM4SF4"			"STX2"																							
"GUSB"			"COPS7A"																							
"TRAPPC1"			"CDCA3"																							
"SMAD1"			"SPSB2"																							
"TRABD"			"ENO2"																							
"DYDC1"			"SUDS3"																							
"CHCHD7"			"PRKAB1"																							
"TRH"			"CMAS"																							
"DDI1"			"BTN3A3"																							
"JAGN1"			"SMIM8"																							
"CSN3"			"FAM184A"																							
"TCEA2"			"SRSF3"																							
"PWWP2B"			"BAG2"																							
"MRM3"			"SMAP1"																							
"FRMD5"			"GMNN"																							
"MAL"			"SMOC2"																							
"GAP43"			"PPP2R5D"																							
"QARS1"			"DNPH1"																							
"MOB3A"			"TTK"																							
"FRMD3"			"NUDT12"																							
"CERS6"			"CEP72"																							
"SUCLG2"			"DAP"																							
"NADSYN1"			"HSPA9"																							
"ADCK5"			"PFDN1"																							
"ESRRA"			"ITK"																							
"SAA1"			"PPWD1"																							
"CHD2"			"AMOTL2"																							
"EIF1AX"			"FAM162A"																							
"CNP"			"KPNA1"																							
"PLK3"			"ARMC8"																							
"GCSAM"			"SERPINI2"																							
"TMEM167A"			"PRKAR2A"																							
"ODAPH"			"ACAP2"																							
"CNIH2"			"CBLB"																							
"ASPHD1"			"GBE1"																							
"CTBP2"			"NCBP2"																							
"CSRP2"			"SNX4"																							
"PHYKPL"			"ABTB1"																							
"CABP4"			"ACVR2B"																							
"SUGCT"			"ABHD14B"																							
"CTDNEP1"			"TNNC1"																							
"ETV4"			"NEK4"																							
"PLEKHF2"			"MOB1A"																							
"KCNE5"			"KANSL3"																							
"GPX2"			"RTKN"																							
"DNAJC30"			"IL1A"																							
"DCAF4L2"			"STEAP3"																							
"BDNF"			"GCA"																							
"THAP4"			"DOK1"																							
"ARIH2"			"GALNT3"																							
"CAPZA3"			"FANCL"																							
"RIC8A"			"ELMOD3"																							
"ADAMTSL1"			"HSPE1"																							
"COX14"			"IL1R2"																							
"CSRNP3"			"PPP1R7"																							
"AURKB"			"ARID3A"																							
"FAM133A"			"ATP6V1B1"																							
"FARSA"			"CACYBP"																							
"ALOXE3"			"RPL22"																							
"EDC3"			"SCAMP3"																							
"RAD23A"			"TRIM62"																							
"FAM156B"			"MEF2D"																							
"CLK3"			"FBXO6"																							
"DNAJB8"			"ADPRS"																							
"ALOX15B"			"AIRIM"																							
"C14orf119"			"BLZF1"																							
"BBS10"			"DR1"																							
"SSR4"			"CNN3"																							
"TCEAL8"			"HSD11B1"																							
"FDCSP"			"RSRP1"																							
"SLX1B"			"RCOR3"																							
"TMEM252"			"NEK2"																							
"RTKN2"			"PPP1R8"																							
"ENPP7"			"OSBPL9"																							
"ANXA2"			"MESD"																							
"CRIP2"			"MMP8"																							
"C11orf54"			"CREB1"																							
"PYCR1"			"HMGN3"																							
"HMCES"			"TGIF2"																							
"TRMT12"			"SPP1"																							
"LHFPL6"			"GTF3C3"																							
"CHEK2"			"CPSF3"																							
"LRRC55"			"GALNT12"																							
"PRKX"			"BBOF1"																							
"ST6GALNAC3"			"NEK9"																							
"DIABLO"			"COQ6"																							
"VPS33B"			"KLHL29"																							
"ADAP2"			"CUTC"																							
"FAM120C"			"C10orf88"																							
"NIPSNAP1"			"PANK3"																							
"SNRNP35"			"EQTN"																							
"COPB2"			"PCMT1"																							
"STING1"			"TNFSF18"																							
"F8"			"GORAB"																							
"UBOX5"			"TTLL2"																							
"TNFAIP8L1"			"SNX19"																							
"SMYD3"			"PDZD11"																							
"STAC3"			"KIAA1217"																							
"ROR1"			"LYZL1"																							
"KCNIP4"			"SOHLH2"																							
"POMK"			"PAIP2"																							
"CCIN"			"SOCS2"																							
"CYP2R1"			"NFYB"																							
"CENATAC"			"DUSP4"																							
"CD300E"			"PTK2B"																							
"C17orf58"			"RDH10"																							
"TMEM17"			"COIL"																							
"AKR1C1"			"MND1"																							
"FANCM"			"IAPP"																							
"UBQLN2"			"ZSCAN18"																							
"ZDHHC11"			"FYTTD1"																							
"ADAT2"			"SASH3"																							
"DUSP21"			"MYOG"																							
"MPHOSPH8"			"SERAC1"																							
"NIF3L1"			"ANXA11"																							
"PTPN1"			"SEPTIN7"																							
"GK2"			"EEPD1"																							
"PRPF40A"			"CLTA"																							
"TPK1"			"DNAI1"																							
"HRH1"			"CYREN"																							
"S100A2"			"ACADS"																							
"ANXA4"			"CCDC91"																							
"SND1"			"DDX39A"																							
"DDI2"			"PKN1"																							
"GYPE"			"ACTRT1"																							
"GZMM"			"OPTN"																							
"KRTAP26-1"			"ATF1"																							
"HOXC6"			"NR4A1"																							
"MBP"			"CDK2"																							
"MAK16"			"USP45"																							
"HIBCH"			"NMI"																							
"MAN1A2"			"BAZ2B"																							
"DDX42"			"TTPAL"																							
"STYX"			"VAPB"																							
"UBL5"			"TOX2"																							
"TMEM116"			"STAU1"																							
"NTRK1"			"PMEPA1"																							
"TCAF1"			"SNRNP27"																							
"TPM2"			"IRGC"																							
"ZNF808"			"BTN1A1"																							
"SH2D1B"			"SNRPC"																							
"PAPSS2"			"XPO5"																							
"MTOR"			"OARD1"																							
"BRINP2"			"UNC5CL"																							
"CD247"			"TBCC"																							
"SELENOT"			"SPDEF"																							
"SMG5"			"RIOK1"																							
"DDO"			"BBS2"																							
"RTL8A"			"RNF113A"																							
"HLA-DRA"			"MIF4GD"																							
"SDHD"			"PPDPF"																							
"TRIM15"			"TRIP10"																							
"AKT1S1"			"DTD1"																							
"PCDHA7"			"CITED1"																							
"PSENEN"			"MAX"																							
"CNEP1R1"			"ERGIC3"																							
"GAGE1"			"AMOT"																							
"TRGC1"			"ST3GAL3"																							
"ANKRD39"			"PCID2"																							
"ADAT3"			"NR1D1"																							
"CSNK1E"			"FRMD8"																							
"CPNE1"			"IRF3"																							
"ZBED1"			"STATH"																							
"GCGR"			"NSRP1"																							
"CKLF"			"IFI6"																							
"MAGEA3"			"EVI2A"																							
"C19orf73"			"TIMM8A"																							
"VPS52"			"INTS11"																							
"FAM133B"			"PLAAT1"																							
"JRK"			"GFER"																							
"KRTAP13-3"			"APOL3"																							
"ARHGDIG"			"CALU"																							
"TCP10L"			"IRF5"																							
"NAA80"			"MYO5C"																							
"ACY1"			"TMOD2"																							
"DBNDD2"			"TTBK2"																							
"ASPRV1"			"COPB1"																							
"PDCD6"			"SUMF2"																							
"CDK3"			"CD68"																							
"DCANP1"			"PHF20L1"																							
"POLG2"			"DNAAF11"																							
"SRSF8"			"MTUS1"																							
"TIMM23"			"DTD2"																							
"CGB1"			"SNX6"																							
"RASL10B"			"SAFB2"																							
"DUSP14"			"SNX9"																							
			"STK33"																							
			"UBAC1"																							
			"CEP85"																							
			"ADRM1"																							
			"MAP3K10"																							
			"ATP5IF1"																							
			"HIP1R"																							
			"MPP1"																							
			"CASZ1"																							
			"HSD17B3"																							
			"GFAP"																							
			"IDO1"																							
			"PPT1"																							
			"RLIM"																							
			"C3orf20"																							
			"ANKHD1"																							
			"NINJ1"																							
			"RHOXF2"																							
			"KRT33B"																							
			"STARD3"																							
			"PRKAB2"																							
			"LGALS3"																							
			"DCAF15"																							
			"TRIM21"																							
			"PTCD3"																							
			"ILKAP"																							
			"RAN"																							
			"JCHAIN"																							
			"ANKRD17"																							
			"CLEC10A"																							
			"RGS22"																							
			"SNAP25"																							
			"PTPRA"																							
			"DCAF8"																							
			"ACY3"																							
			"RBM38"																							
			"BHMT2"																							
			"KANK4"																							
			"ZMYM5"																							
			"ZNF414"																							
			"NTS"																							
			"MED6"																							
			"VHL"																							
			"ARL8B"																							
			"NAPG"																							
			"GRHL1"																							
			"LDHA"																							
			"RBM17"																							
			"KLRC1"																							
			"PRH2"																							
			"CBLIF"																							
			"ARGLU1"																							
			"TAOK3"																							
			"EPHA7"																							
			"MAP3K7"																							
			"ELF5"																							
			"CAPRIN1"																							
			"LACRT"																							
			"AHI1"																							
			"PKIB"																							
			"STX11"																							
			"MPHOSPH6"																							
			"KIAA0513"																							
			"DYNC1LI2"																							
			"PIGC"																							
			"CAB39"																							
			"C2orf49"																							
			"APPL2"																							
			"VPS36"																							
			"MED4"																							
			"COG3"																							
			"C7orf25"																							
			"DBNL"																							
			"TEX2"																							
			"DCAF7"																							
			"ERMN"																							
			"SKIL"																							
			"IL36B"																							
			"BIN1"																							
			"ABI1"																							
			"YME1L1"																							
			"ODF2"																							
			"C9orf78"																							
			"RALGPS1"																							
			"TMOD1"																							
			"PDCL"																							
			"PPIL1"																							
			"KLC4"																							
			"LRRC1"																							
			"SYTL2"																							
			"LRRC32"																							
			"GGH"																							
			"CASP1"																							
			"RTF1"																							
			"RMDN3"																							
			"PNPT1"																							
			"SLC3A1"																							
			"ATRAID"																							
			"ACTR1A"																							
			"CYP2C8"																							
			"PPIG"																							
			"IDH1"																							
			"CIR1"																							
			"TMOD3"																							
			"ARHGAP24"																							
			"RASGEF1B"																							
			"CXCL9"																							
			"SCARB2"																							
			"USO1"																							
			"PPP3CA"																							
			"MTTP"																							
			"VAMP1"																							
			"PHLDA1"																							
			"AMDHD1"																							
			"SYCP3"																							
			"TDG"																							
			"GLTP"																							
			"GIT2"																							
			"NUP58"																							
			"TARBP2"																							
			"ACVRL1"																							
			"KANSL2"																							
			"SYT16"																							
			"MFAP1"																							
			"SORD"																							
			"TLE3"																							
			"HMG20A"																							
			"IGF1R"																							
			"SCAMP2"																							
			"GLYR1"																							
			"TGFB1I1"																							
			"MYLK3"																							
			"MEAK7"																							
			"ADAD2"																							
			"PDPK1"																							
			"PRPSAP2"																							
			"SKAP1"																							
			"ABCA8"																							
			"IMPA2"																							
			"ASGR1"																							
			"ARHGDIA"																							
			"CARD14"																							
			"RPTOR"																							
			"SECTM1"																							
			"SIRT3"																							
			"EVI5L"																							
			"CELA2A"																							
			"EPHA2"																							
			"C1orf94"																							
			"ITGB3BP"																							
			"BCL10"																							
			"PROK1"																							
			"MGST3"																							
			"ABL2"																							
			"RFX5"																							
			"ENSA"																							
			"ARNT"																							
			"POGZ"																							
			"OAZ3"																							
			"JTB"																							
			"S100A7"																							
			"PKLR"																							
			"NVL"																							
			"CALM2"																							
			"CHAC2"																							
			"CIAO1"																							
			"UBR3"																							
			"RHBDD1"																							
			"CTDSP1"																							
			"EAF1"																							
			"GOLGA4"																							
			"LIMD1"																							
			"EIF2B5"																							
			"FIP1L1"																							
			"PLAC8"																							
			"ENOPH1"																							
			"SNCA"																							
			"UGT3A1"																							
			"SSBP2"																							
			"CDKAL1"																							
			"MLIP"																							
			"DYNLT1"																							
			"WTAP"																							
			"PSPH"																							
			"EPHA1"																							
			"LUC7L2"																							
			"CLTRN"																							
			"ZMYM3"																							
			"IGSF1"																							
			"MAGEA4"																							
			"CCDC25"																							
			"EBAG9"																							
			"C9orf72"																							
			"MED22"																							
			"GTF3C5"																							
			"MIGA2"																							
			"IDI2"																							
			"DPH7"																							
			"NRBF2"																							
			"RGS10"																							
			"SSRP1"																							
			"CCDC82"																							
			"TTC12"																							
			"SCN2B"																							
			"DSN1"																							
			"CWC15"																							
			"FCGR1A"																							
			"PDCD4"																							
			"CNDP1"																							
			"FSIP1"																							
			"RGS18"																							
			"POU2AF2"																							
			"DIXDC1"																							
			"PIP4K2A"																							
			"ENKUR"																							
			"KCNA6"																							
			"NGLY1"																							
			"OXSM"																							
			"NOPCHAP1"																							
			"TMEM263"																							
			"IPMK"																							
			"MAT1A"																							
			"TWF1"																							
			"CSNK1G3"																							
			"MBIP"																							
			"TMEM18"																							
			"FHIP2A"																							
			"ASAP2"																							
			"CENPU"																							
			"CACUL1"																							
			"BAG3"																							
			"KCNE4"																							
			"FAM168B"																							
			"HAUS1"																							
			"ARK2N"																							
			"CWF19L2"																							
			"CAMK4"																							
			"DDX4"																							
			"RASGRP3"																							
			"CPB1"																							
			"CARHSP1"																							
			"BCL2L11"																							
			"MERTK"																							
			"SLC25A27"																							
			"RPIA"																							
			"LURAP1L"																							
			"CFDP1"																							
			"PPP2R5E"																							
			"C16orf74"																							
			"CEP112"																							
			"TRIM11"																							
			"TMSB4Y"																							
			"JAM2"																							
			"ATP5PF"																							
			"DPH3"																							
			"OXNAD1"																							
			"PLCL2"																							
			"ZFYVE27"																							
			"PDZD9"																							
			"HYCC2"																							
			"TMEM237"																							
			"RNF20"																							
			"VBP1"																							
			"PCGF6"																							
			"SFR1"																							
			"SAMD8"																							
			"SEC13"																							
			"NMNAT2"																							
			"NECAP2"																							
			"SSBP3"																							
			"APPL1"																							
			"TSC22D3"																							
			"KCNJ15"																							
			"ETS2"																							
			"BRAF"																							
			"DPYSL5"																							
			"HPD"																							
			"TMSB15A"																							
			"CDC25C"																							
			"MITD1"																							
			"CPA5"																							
			"PAGE5"																							
			"USF1"																							
			"DMTN"																							
			"IFNGR2"																							
			"LAD1"																							
			"CBR1"																							
			"CHAF1B"																							
			"HLCS"																							
			"PTMS"																							
			"MED8"																							
			"GPBP1L1"																							
			"EFCAB14"																							
			"ZFYVE28"																							
			"ABR"																							
			"CCDC107"																							
			"DFFA"																							
			"UBE2J2"																							
			"PKNOX1"																							
			"CSTB"																							
			"S100B"																							
			"PRMT2"																							
			"CLDND2"																							
			"CCDC12"																							
			"ORAI2"																							
			"MGAT4B"																							
			"SCGB3A1"																							
			"KASH5"																							
			"JOSD2"																							
			"SPC24"																							
			"POLR3K"																							
			"AMDHD2"																							
			"ZG16B"																							
			"RBP7"																							
			"SNX7"																							
			"AKNAD1"																							
			"GBP4"																							
			"DDR2"																							
			"KLHDC9"																							
			"TRIM17"																							
			"MAIP1"																							
			"NUP35"																							
			"BNIPL"																							
			"TMOD4"																							
			"CDC42EP3"																							
			"NIPAL1"																							
			"TAFA4"																							
			"LMOD1"																							
			"NEK10"																							
			"PPM1L"																							
			"ICOS"																							
			"RYBP"																							
			"ERICH6"																							
			"HESX1"																							
			"CXCL3"																							
			"SPDYA"																							
			"KIAA1143"																							
			"LZTFL1"																							
			"ELP6"																							
			"MEAF6"																							
			"DNALI1"																							
			"CAMK2N2"																							
			"MELTF"																							
			"EMCN"																							
			"SLC9B2"																							
			"BDH2"																							
			"INTU"																							
			"CAMKV"																							
			"DUSP7"																							
			"ANXA5"																							
			"HPGD"																							
			"NDUFAF2"																							
			"PRRC1"																							
			"CASP3"																							
			"CSF2"																							
			"FABP7"																							
			"SFXN1"																							
			"STK17A"																							
			"RELL2"																							
			"CDCA7L"																							
			"TAGAP"																							
			"CA3"																							
			"ALDH7A1"																							
			"C8orf34"																							
			"ALDH1A1"																							
			"FBP1"																							
			"PGAP4"																							
			"PTCHD1"																							
			"PIGO"																							
			"ARHGAP12"																							
			"SKA3"																							
			"SSX3"																							
			"ABRAXAS2"																							
			"HPRT1"																							
			"BTNL9"																							
			"PRAP1"																							
			"TCP11L2"																							
			"SPATA19"																							
			"IKBIP"																							
			"ZFYVE19"																							
			"BAG5"																							
			"COPS2"																							
			"TMEM100"																							
			"NETO1"																							
			"WEE1"																							
			"NDEL1"																							
			"CIAO2B"																							
			"CFAP52"																							
			"GOLM2"																							
			"PEX11A"																							
			"TMEM170A"																							
			"ANPEP"																							
			"NAB2"																							
			"STX3"																							
			"PIP4K2C"																							
			"MS4A15"																							
			"MAPRE2"																							
			"TMEM92"																							
			"C15orf39"																							
			"KATNAL2"																							
			"TEPSIN"																							
			"PRRT2"																							
			"NFKBID"																							
			"LAIR1"																							
			"SPINT2"																							
			"C19orf33"																							
			"ATCAY"																							
			"EEF2"																							
			"UBXN6"																							
			"GPT"																							
			"KLK13"																							
			"TEKT1"																							
			"ATP5PD"																							
			"RAB3IL1"																							
			"PBK"																							
			"DDIT4"																							
			"RBPJ"																							
			"UBTD2"																							
			"FOXI1"																							
			"IRF2"																							
			"PPDPFL"																							
			"CDKN2AIP"																							
			"MUCL3"																							
			"AHCYL1"																							
			"TSPY2"																							
			"NSG1"																							
			"CTRB1"																							
			"MFF"																							
			"ROR2"																							
			"AFAP1L2"																							
			"CD2BP2"																							
			"RGS14"																							
			"PRELID1"																							
			"CRADD"																							
			"HINT1"																							
			"INO80E"																							
			"GKN1"																							
			"RAMAC"																							
			"APLF"																							
			"AGPAT2"																							
			"LIMS1"																							
			"MAP3K2"																							
			"CNTROB"																							
			"UBE2E1"																							
			"SIK2"																							
			"FABP6"																							
			"USP47"																							
			"MRAP"																							
			"GON7"																							
			"CST2"																							
			"EMB"																							
			"SGCD"																							
			"CAVIN4"																							
			"CDCA4"																							
			"DYDC1"																							
			"NDUFA3"																							
			"DDI1"																							
			"INSR"																							
			"MFN1"																							
			"TADA3"																							
			"CLDN20"																							
			"KRT15"																							
			"TPPP"																							
			"KRT20"																							
			"MCC"																							
			"PIK3CD"																							
			"ENC1"																							
			"SPSB1"																							
			"PLEKHG5"																							
			"VAT1L"																							
			"PAH"																							
			"SYCE1"																							
			"SLFNL1"																							
			"PWWP2B"																							
			"ANGPTL7"																							
			"MLLT3"																							
			"FAM90A1"																							
			"TRAPPC12"																							
			"CYP4F11"																							
			"DRC3"																							
			"EIF2AK3"																							
			"CERS6"																							
			"CSDC2"																							
			"CFAP53"																							
			"KLHL6"																							
			"MRPL52"																							
			"WASHC2C"																							
			"TMEM134"																							
			"GARIN2"																							
			"PSME3IP1"																							
			"MAP3K11"																							
			"DAB1"																							
			"RNASE11"																							
			"MOB1B"																							
			"CHD2"																							
			"CCDC106"																							
			"LRFN4"																							
			"AGFG1"																							
			"JUP"																							
			"ENDOV"																							
			"RNF213"																							
			"MARCHF10"																							
			"PHC3"																							
			"SWSAP1"																							
			"GNG5"																							
			"EXO1"																							
			"PELI3"																							
			"IL20RB"																							
			"BRMS1"																							
			"BTC"																							
			"PDZK1"																							
			"PDE12"																							
			"NDUFA11"																							
			"RSRC1"																							
			"FUT1"																							
			"KLC2"																							
			"CTBP2"																							
			"UBE2C"																							
			"SPSB4"																							
			"DCTN2"																							
			"CENPS"																							
			"PHYKPL"																							
			"PTPN2"																							
			"CLCF1"																							
			"UBQLNL"																							
			"P2RY2"																							
			"TOM1L2"																							
			"ETV4"																							
			"BAIAP2"																							
			"TMEM270"																							
			"LYSMD3"																							
			"JAKMIP2"																							
			"KCNE5"																							
			"ACBD7"																							
			"CRLF3"																							
			"TYMS"																							
			"SHMT1"																							
			"SEC24C"																							
			"MTHFR"																							
			"EPS8L2"																							
			"GATD1"																							
			"LRRN4CL"																							
			"NAP1L5"																							
			"ERICH5"																							
			"ARIH2"																							
			"RABEP2"																							
			"RPLP2"																							
			"TEX44"																							
			"NAALADL2"																							
			"NECTIN3"																							
			"CHID1"																							
			"GRAMD1C"																							
			"SLITRK1"																							
			"P4HTM"																							
			"SLC25A20"																							
			"EPM2AIP1"																							
			"CSRNP3"																							
			"ZHX2"																							
			"GAK"																							
			"RMI1"																							
			"EXD1"																							
			"LDLRAD3"																							
			"TMEM31"																							
			"CDC42EP4"																							
			"PDXDC1"																							
			"SEPHS2"																							
			"BBS10"																							
			"PTGR3"																							
			"WFDC11"																							
			"SEPTIN1"																							
			"FGD6"																							
			"HCLS1"																							
			"SERTM1"																							
			"PCGF5"																							
			"SPEM1"																							
			"RTKN2"																							
			"RGMA"																							
			"IZUMO1"																							
			"KPNA2"																							
			"CEP97"																							
			"TSKU"																							
			"C1orf116"																							
			"PCP4"																							
			"ABAT"																							
			"CAMK1D"																							
			"DAZAP2"																							
			"GBP6"																							
			"FHL3"																							
			"VPS33B"																							
			"NR2C2AP"																							
			"PPP1R2"																							
			"TSSC4"																							
			"SRPK3"																							
			"SPATA32"																							
			"TMEM255B"																							
			"HDDC3"																							
			"BEX5"																							
			"CEND1"																							
			"SEPTIN9"																							
			"ODF4"																							
			"RNLS"																							
			"PRR16"																							
			"TCEAL2"																							
			"FMNL1"																							
			"UBOX5"																							
			"NELFA"																							
			"ADSS1"																							
			"TCEAL9"																							
			"CIMIP4"																							
			"HGS"																							
			"RAD51D"																							
			"AHNAK2"																							
			"PCYT2"																							
			"BCAP31"																							
			"CCIN"																							
			"NDUFA13"																							
			"CD300LF"																							
			"PCLO"																							
			"ERCC6L"																							
			"CYP4A11"																							
			"SHTN1"																							
			"RSBN1L"																							
			"FAM9C"																							
			"DHRS4L2"																							
			"PLSCR3"																							
			"PABIR1"																							
			"ARL4C"																							
			"MAPK12"																							
			"PLSCR1"																							
			"BLOC1S5"																							
			"NOC2L"																							
			"DUSP21"																							
			"SF3B3"																							
			"DRICH1"																							
			"GJB4"																							
			"PPIA"																							
			"GTF2IRD2"																							
			"STK31"																							
			"ZKSCAN7"																							
			"THEM5"																							
			"MYL6B"																							
			"ARL9"																							
			"TCEAL3"																							
			"HSH2D"																							
			"DAPK1"																							
			"HLA-DQA1"																							
			"ILRUN"																							
			"KPNA5"																							
			"CASP4"																							
			"SND1"																							
			"NOL4L"																							
			"CYSRT1"																							
			"IL27"																							
			"LRP10"																							
			"ZNF695"																							
			"GZMM"																							
			"KRTAP26-1"																							
			"PARVA"																							
			"OCLN"																							
			"ADH5"																							
			"IRAK4"																							
			"MRPL42"																							
			"MAK16"																							
			"NUP62CL"																							
			"MB"																							
			"DDX42"																							
			"RPL23A"																							
			"OGA"																							
			"KCNRG"																							
			"CCDC69"																							
			"EIF1AY"																							
			"LDB1"																							
			"GPATCH3"																							
			"RCSD1"																							
			"TYW1"																							
			"PNMA5"																							
			"PRMT6"																							
			"PRC1"																							
			"MAP3K3"																							
			"MFAP3L"																							
			"FCGR3A"																							
			"TCEAL5"																							
			"NEU4"																							
			"TRAF3IP1"																							
			"RING1"																							
			"PSMB8"																							
			"TAP2"																							
			"AIF1"																							
			"LST1"																							
			"DHX16"																							
			"ABCF1"																							
			"LGALS7"																							
			"SARNP"																							
			"SMN2"																							
			"HTN3"																							
			"DOK6"																							
			"DIO1"																							
			"TSSK1B"																							
			"DENND1B"																							
			"CHUK"																							
			"HAUS3"																							
			"ZBED1"																							
			"MTCP1"																							
			"GAGE12G"																							
			"TAFA5"																							
			"VAMP2"																							
			"TIGD1"																							
			"PPT2"																							
			"VPS52"																							
			"CT47A11"																							
			"LTB"																							
			"ZNF688"																							
			"GK3"																							
			"ACBD6"																							
			"PAGE2"																							
			"OR10G8"																							
			"IFNA17"																							
			"CASTOR1"																							
			"PCDHGC3"																							
			"PPIL3"																							
			"C1QTNF9"																							
			"PCDHGC5"																							
			"YAE1"																							
			"HOGA1"																							
			"HYPK"																							
			"ARHGDIG"																							
			"ARFGAP3"																							
			"AP5Z1"																							
			"KCTD7"																							
			"IL10RB"																							
			"DBNDD2"																							
			"ETV5"																							
			"UBE2V1"																							
			"CRYBB2"																							
			"EEF1G"																							
			"BORCS8"																							
			"CARD18"																							
			"POLR2M"																							
			"DNAAF4"																							
			"TEN1"																							
			"C17orf49"																							
			"BOP1"																							
			"PECAM1"																							
			"OTUD7B"																							
			"GJA5"																							
			"FSBP"																							
			"NCOA4"																							
			"HEATR9"																							
			"MUSTN1"																							
			"PCDHB16"																							
			"NOL12"																							
			"HNF1B"																							
			"AATF"																							
			"CCL3L3"																							
			"SRCIN1"																							
			"PAGR1"																							
			"PRRC2B"																							
			"CAST"																							
