"AD_TOTAL"	"AD_UP"	"AD_DOWN"	"earlyPD_TOTAL"	"earlyPD_UP"	"earlyPD_DOWN"	"MCI_TOTAL"	"MCI_UP"	"MCI_DOWN"	"MS_TOTAL"	"MS_UP"	"MS_DOWN"	"PD_TOTAL"	"PD_UP"	"PD_DOWN"	"rrMS_TOTAL"	"rrMS_UP"	"rrMS_DOWN"	"spMS_TOTAL"	"spMS_UP"	"spMS_DOWN"	"Sexmale_TOTAL"	"Sexmale_UP"	"Sexmale_DOWN"	"Age_TOTAL"	"Age_UP"	"Age_DOWN"
"RPS6KB2"	"RPS6KB2"	"HOXC6"	"ERCC3"	"ERCC3"	"ZMYM3"																					
"TMEM270"	"TMEM270"	"MBP"	"LCE3D"	"LCE3D"	"IGSF1"																					
"LYSMD3"	"LYSMD3"	"MAK16"	"CLDN1"	"CLDN1"	"MAGEA4"																					
"DIRAS1"	"DIRAS1"	"HIBCH"	"TMEM183A"	"TMEM183A"	"CCDC25"																					
"PRR15"	"PRR15"	"MAN1A2"	"TRIM46"	"TRIM46"	"EBAG9"																					
"CETN1"	"CETN1"	"DDX42"	"GLB1L"	"GLB1L"	"C9orf72"																					
"GATD1"	"GATD1"	"STYX"	"MNDA"	"MNDA"	"MED22"																					
"CAVIN1"	"CAVIN1"	"UBL5"	"GTPBP8"	"GTPBP8"	"GTF3C5"																					
"PNPLA2"	"PNPLA2"	"TMEM116"	"ALB"	"ALB"	"MIGA2"																					
"NAALADL2"	"NAALADL2"	"NTRK1"	"RPP14"	"RPP14"	"IDI2"																					
"CD151"	"CD151"	"TCAF1"	"DNASE1L3"	"DNASE1L3"	"DPH7"																					
"MYOZ1"	"MYOZ1"	"TPM2"	"IL17RE"	"IL17RE"	"NRBF2"																					
"SVBP"	"SVBP"	"ZNF808"	"SENP2"	"SENP2"	"RGS10"																					
"ASB8"	"ASB8"	"SH2D1B"	"UVSSA"	"UVSSA"	"SSRP1"																					
"UCN3"	"UCN3"	"PAPSS2"	"ZNF691"	"ZNF691"	"CCDC82"																					
"ERN1"	"ERN1"	"MTOR"	"AIMP1"	"AIMP1"	"TTC12"																					
"LDLRAD3"	"LDLRAD3"	"BRINP2"	"METAP1"	"METAP1"	"SCN2B"																					
"GCC1"	"GCC1"	"CD247"	"TEX264"	"TEX264"	"DSN1"																					
"RNF151"	"RNF151"	"SELENOT"	"ETNPPL"	"ETNPPL"	"CWC15"																					
"PDXDC1"	"PDXDC1"	"SMG5"	"HAND2"	"HAND2"	"FCGR1A"																					
"SEPHS2"	"SEPHS2"	"DDO"	"FBXO8"	"FBXO8"	"PDCD4"																					
"OR3A1"	"OR3A1"	"RTL8A"	"PRMT9"	"PRMT9"	"CNDP1"																					
"PRKRA"	"PRKRA"	"HLA-DRA"	"EDIL3"	"EDIL3"	"FSIP1"																					
"CCDC43"	"CCDC43"	"SDHD"	"STARD4"	"STARD4"	"RGS18"																					
"H2AC6"	"H2AC6"	"TRIM15"	"CMBL"	"CMBL"	"POU2AF2"																					
"NPM1"	"NPM1"	"AKT1S1"	"NDUFS4"	"NDUFS4"	"DIXDC1"																					
"PNMA8A"	"PNMA8A"	"PCDHA7"	"EGFLAM"	"EGFLAM"	"PIP4K2A"																					
"KCNIP1"	"KCNIP1"	"PSENEN"	"PDSS2"	"PDSS2"	"ENKUR"																					
"UBE2E2"	"UBE2E2"	"CNEP1R1"	"TRA2A"	"TRA2A"	"KCNA6"																					
"C8orf33"	"C8orf33"	"GAGE1"	"GALNT10"	"GALNT10"	"NGLY1"																					
"CEP97"	"CEP97"	"TRGC1"	"RPS14"	"RPS14"	"OXSM"																					
"LIMK2"	"LIMK2"	"ANKRD39"	"TEX47"	"TEX47"	"NOPCHAP1"																					
"NTM"	"NTM"	"ADAT3"	"SPAG11B"	"SPAG11B"	"TMEM263"																					
"TSKU"	"TSKU"	"CSNK1E"	"FMC1"	"FMC1"	"IPMK"																					
"RPS17"	"RPS17"	"CPNE1"	"RPP25L"	"RPP25L"	"MAT1A"																					
"CABCOCO1"	"CABCOCO1"	"ZBED1"	"DIRAS2"	"DIRAS2"	"TWF1"																					
"SETD3"	"SETD3"	"GCGR"	"METTL2B"	"METTL2B"	"CSNK1G3"																					
"MRPL54"	"MRPL54"	"CKLF"	"PRKACG"	"PRKACG"	"MBIP"																					
